"CBSA Code",Geographic area,Legal/statistical area description,Population,,Population rank1,,"Land area in square miles
23460,"Gadsden, AL",Metropolitan Statistical Area,"104,430","103,459",338,329,535.0,
23540,"Gainesville, FL",Metropolitan Statistical Area,"264,275","232,392",173,175,"1,224.7",
23580,"Gainesville, GA",Metropolitan Statistical Area,"179,684","139,277",226,262,392.8,
24020,"Glens Falls, NY",Metropolitan Statistical Area,"128,923","124,345",298,281,"1,698.1",
24140,"Goldsboro, NC",Metropolitan Statistical Area,"122,623","113,329",311,301,553.1,
24220,"Grand Forks, ND-MN",Metropolitan Statistical Area,"98,461","97,478",345,339,"3,407.5",
24300,"Grand Junction, CO",Metropolitan Statistical Area,"146,723","116,255",269,294,"3,329.0",
24340,"Grand Rapids-Wyoming, MI",Metropolitan Statistical Area,"774,160","740,482",69,63,"2,784.5",
24500,"Great Falls, MT",Metropolitan Statistical Area,"81,327","80,357",360,357,"2,698.2",
24540,"Greeley, CO",Metropolitan Statistical Area,"252,825","180,926",179,208,"3,987.2",
24580,"Green Bay, WI",Metropolitan Statistical Area,"306,241","282,599",153,153,"1,870.2",
24660,"Greensboro-High Point, NC",Metropolitan Statistical Area,"723,801","643,430",71,74,"1,993.8",
24780,"Greenville, NC",Metropolitan Statistical Area,"189,510","152,772",220,238,917.9,
24860,"Greenville-Mauldin-Easley, SC",Metropolitan Statistical Area,"636,986","559,940",83,84,"1,995.3",
25060,"Gulfport-Biloxi, MS",Metropolitan Statistical Area,"248,820","246,190",186,171,"1,493.2",
25180,"Hagerstown-Martinsburg, MD-WV",Metropolitan Statistical Area,"269,140","222,771",172,181,"1,008.0",
25260,"Hanford-Corcoran, CA",Metropolitan Statistical Area,"152,982","129,461",259,274,"1,389.4",
25420,"Harrisburg-Carlisle, PA",Metropolitan Statistical Area,"549,475","509,074",93,87,"1,622.0",
25500,"Harrisonburg, VA",Metropolitan Statistical Area,"125,228","108,193",306,318,866.5,
25540,"Hartford-West Hartford-East Hartford, CT",Metropolitan Statistical Area,"1,212,381","1,148,618",45,44,"1,514.6",
25620,"Hattiesburg, MS",Metropolitan Statistical Area,"142,842","123,812",274,283,"1,610.6",
25860,"Hickory-Lenoir-Morganton, NC",Metropolitan Statistical Area,"365,497","341,851",140,135,"1,637.4",
