GeoFips,GeoName,LineCode,Description,2021,
14010,"Bloomington, IL (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),12925097,
14010,"Bloomington, IL (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,119.229,
14010,"Bloomington, IL (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),15140725,
14020,"Bloomington, IN (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),6740158,
14020,"Bloomington, IN (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,116.646,
14020,"Bloomington, IN (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),8272024,
14100,"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),4186318,
14100,"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,103.624,
14100,"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),4916778,
14260,"Boise City, ID (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),36295460,
14260,"Boise City, ID (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,147.922,
14260,"Boise City, ID (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),43601402,
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),444402874,
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,124.452,
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),531671846,
14500,"Boulder, CO (Metropolitan Statistical Area) *",1,Real GDP (thousands of chained 2012 dollars),29154660,
14500,"Boulder, CO (Metropolitan Statistical Area) *",2,Chain-type quantity indexes for real GDP,139.504,
14500,"Boulder, CO (Metropolitan Statistical Area) *",3,Current-dollar GDP (thousands of current dollars),33182418,
14540,"Bowling Green, KY (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),6988563,
14540,"Bowling Green, KY (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,118.438,
14540,"Bowling Green, KY (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),8368247,
14740,"Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),11741512,
14740,"Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,117.063,
14740,"Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),14373182,
14860,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),79181882,
14860,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,95.886,
14860,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),98751750,
15180,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),10741407,
